question,document
"I just found this course late — can I still sign up and follow along, or is it too late?",74eb249bbf
"If I join after the course already started, can I still get a certificate somehow?",74eb249bbf
Do I have to submit the final project before submissions close to be eligible for the certificate?,74eb249bbf
"Is it okay to start the course now if I missed the beginning, and what do I need to do for certification?",74eb249bbf
What’s the deadline for project submission if I want the course certificate?,74eb249bbf
"I signed up for the LLM Zoomcamp — should I be waiting for a confirmation email, or can I just start the course?",977bf7786c
Do I need to be officially accepted before I can watch the lessons and submit homework?,977bf7786c
"Is course registration required, or is it only used to estimate interest before the class starts?",977bf7786c
"If I already registered, does that mean I'm on some approved list for the homework form?",977bf7786c
Can I begin working on the assignments right away even if I never got any email back?,977bf7786c
How do students join the office hours or live workshop if the Zoom link isn’t shared with us?,489dd1c9d9
Where can I find the stream link or video URL before an office hours session starts?,489dd1c9d9
"If I’m watching the live session, what’s the best place to send my questions so they get seen?",489dd1c9d9
"Can I ask questions directly in the chat during the live workshop, or is there another way?",489dd1c9d9
"Is the session also available on YouTube, and do I need to use any special link to watch it?",489dd1c9d9
Where do I begin if I want to follow this course properly and not miss anything important?,04919992b3
What's the usual weekly routine for going through the lessons and homework in this course?,04919992b3
"Do I need to wait for a specific start date, or can I jump into the materials anytime?",04919992b3
Which pages or repos should I check first so I can keep up with the course work and deadlines?,04919992b3
How is the homework usually set up compared with what we do in the lesson notebooks?,04919992b3
How can I find my own entry on the leaderboard if I don't see my name right away?,c2903069a0
Why do I have some random display name instead of my real name in the course records?,c2903069a0
Where do I check what name is showing as my display name in the course profile?,c2903069a0
Can I change the nickname that appears publicly without affecting my certificate name?,c2903069a0
What should I edit if I want my real legal name to appear on the certificate instead of the default one?,c2903069a0
Can I do the course on my own schedule and still get the certificate later?,69d122f12e
"If I watch all the lessons self-paced, what else do I need for the certificate?",69d122f12e
"Do I need to turn in homework to get certified, or is the final project enough?",69d122f12e
"Can I submit the capstone after the cohort ends, or does it have to be during the live run?",69d122f12e
"Are peer reviews mandatory for the certificate, and can they be done outside the cohort window?",69d122f12e
"If I skip the first homework, can I still earn the course certificate?",9f689c185f
"Do I have to do every homework to get the certificate, or is the final project enough?",9f689c185f
What do I need to complete in order to receive the certificate for this course?,9f689c185f
"Are homework assignments required, or are they only there to help me practice and improve my score?",9f689c185f
"Does missing homework affect my eligibility for the certificate, or just my leaderboard position?",9f689c185f
Why does the homework page keep changing before it’s due?,96286b4be4
What does it mean when a homework title has [DRAFT] in it?,96286b4be4
How do I know the homework is actually ready and final?,96286b4be4
Can the homework tasks still change even if I already started them?,96286b4be4
Is it safe to do the homework early if the title still says [DRAFT]?,96286b4be4
When is the next run of this course going to happen?,bd31146b0e
Do you know what term the course is scheduled for again?,bd31146b0e
Is there a date for the next time this class will be offered?,bd31146b0e
When should I expect this course to open up again?,bd31146b0e
Will this course be available in Summer 2027?,bd31146b0e
Where do I find the course videos for each lesson?,31456f4b5f
Is there a main page or repo I should start with for the lectures?,31456f4b5f
"I can't find the videos in YouTube, where are the lesson links posted?",31456f4b5f
Do the lesson folders include the lecture recordings somewhere?,31456f4b5f
What's the best place to check first if I want the latest course videos?,31456f4b5f
Where do I go to see the current LLM Zoomcamp syllabus and cohort setup?,20c5a1347e
How can I check homework tasks and due dates for this course?,20c5a1347e
Is there one place to follow my progress in LLM Zoomcamp?,20c5a1347e
What site should I use to keep track of assignments and deadlines?,20c5a1347e
Does LLM Zoomcamp use the same course dashboard as the other DataTalks.Club Zoomcamps?,20c5a1347e
"Do you have a live class or office hour for every module in the course, or is everything just pre-recorded?",d65e05bd7a
"If I get stuck on a lesson, where should I ask for help and what’s the right way to do it?",d65e05bd7a
"How do I find out when any live sessions are happening, since they don’t seem to be part of each module?",d65e05bd7a
Is there any extra paid support with regular Zoom help sessions if the free course feels too self-paced?,d65e05bd7a
"Are the course materials available somewhere in the repo, and do I need to wait for live teaching to follow along?",d65e05bd7a
Can I count Bluesky posts toward my learning in public credits?,dbf5369006
Do posts I make on Bluesky qualify for the public learning requirement?,dbf5369006
Is Bluesky accepted if I want to get learning in public credit?,dbf5369006
"If I share my progress on Bluesky, does that count as learning in public?",dbf5369006
Are Bluesky updates okay to use for the course public credit?,dbf5369006
What’s the Telegram link for LLM Zoomcamp?,054f3fd58f
Where can I find the Telegram group for course announcements?,054f3fd58f
"Is there a Telegram channel for LLM Zoomcamp, and what is it used for?",054f3fd58f
